ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
0,7/13/2019 1:08,2019,M,7/13/2019,1:08:09,0,1091,600,0,0,0,0,328,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:08,layer_1_concentration,YF,1091,real high values at night
0,7/13/2019 1:09,2019,M,7/13/2019,1:09:09,0,1088,600,0,0,0,0,328,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:09,layer_1_concentration,YF,1088,real high values at night
0,7/13/2019 1:10,2019,M,7/13/2019,1:10:09,0,1071,600,0,0,0,0,289,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:10,layer_1_concentration,YF,1071,real high values at night
0,7/13/2019 1:11,2019,M,7/13/2019,1:11:09,0,1036,600,0,0,0,0,282,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:11,layer_1_concentration,YF,1036,real high values at night
0,7/13/2019 1:12,2019,M,7/13/2019,1:12:09,0,1052,600,0,0,0,0,263,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:12,layer_1_concentration,YF,1052,real high values at night
0,7/13/2019 1:13,2019,M,7/13/2019,1:13:09,0,1079,600,0,0,0,0,280,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:13,layer_1_concentration,YF,1079,real high values at night
0,7/13/2019 1:14,2019,M,7/13/2019,1:14:09,0,1073,600,0,0,0,0,284,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:14,layer_1_concentration,YF,1073,real high values at night
0,7/13/2019 1:15,2019,M,7/13/2019,1:15:09,0,1073,600,0,0,0,0,299,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:15,layer_1_concentration,YF,1073,real high values at night
0,7/13/2019 1:16,2019,M,7/13/2019,1:16:09,0,1089,600,0,0,0,0.1,305,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:16,layer_1_concentration,YF,1089,real high values at night
0,7/13/2019 1:17,2019,M,7/13/2019,1:17:09,0,1107,600,0,0,0,0.2,304,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:17,layer_1_concentration,YF,1107,real high values at night
0,7/13/2019 1:18,2019,M,7/13/2019,1:18:09,0,1103,600,0,0,0,0,292,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:18,layer_1_concentration,YF,1103,real high values at night
0,7/13/2019 1:19,2019,M,7/13/2019,1:19:09,0,1095,600,0,0,0,0,274,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:19,layer_1_concentration,YF,1095,real high values at night
0,7/13/2019 1:20,2019,M,7/13/2019,1:20:09,0,1095,600,0,0,0,0,276,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:20,layer_1_concentration,YF,1095,real high values at night
0,7/13/2019 1:21,2019,M,7/13/2019,1:21:09,0,1088,600,0,0,0,0,286,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:21,layer_1_concentration,YF,1088,real high values at night
0,7/13/2019 1:22,2019,M,7/13/2019,1:22:09,0,1080,600,0,0,0,0.3,290,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:22,layer_1_concentration,YF,1080,real high values at night
0,7/13/2019 1:23,2019,M,7/13/2019,1:23:09,0,1063,600,0,0,0,0.2,285,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:23,layer_1_concentration,YF,1063,real high values at night
0,7/13/2019 1:24,2019,M,7/13/2019,1:24:09,0,1019,600,0,0,0,0,284,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:24,layer_1_concentration,YF,1019,real high values at night
0,7/13/2019 1:32,2019,M,7/13/2019,1:32:09,0,1005,600,0,0,0,0,296,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:32,layer_1_concentration,YF,1005,real high values at night
0,7/13/2019 1:48,2019,M,7/13/2019,1:48:09,0,1021,600,0,0,0,0.2,187,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:48,layer_1_concentration,YF,1021,real high values at night
0,7/13/2019 1:49,2019,M,7/13/2019,1:49:09,0,1066,600,0,0,0,0.7,184,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:49,layer_1_concentration,YF,1066,real high values at night
0,7/13/2019 1:50,2019,M,7/13/2019,1:50:09,0,1066,600,0,0,0,1.1,170,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_071319.csv,1436,7/13/2019 1:50,layer_1_concentration,YF,1066,real high values at night
0,7/24/2019 0:39,2019,M,7/24/2019,0:39:16,0,1266,600,0,0,0,0.4,6,8,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072419.csv,1428,7/24/2019 0:39,layer_1_concentration,YF,1266,real high values at night
0,7/24/2019 0:40,2019,M,7/24/2019,0:40:16,0,1008,600,0,0,0,0.6,6,8,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072419.csv,1428,7/24/2019 0:40,layer_1_concentration,YF,1008,real high values at night
0,7/24/2019 21:46,2019,M,7/24/2019,21:46:18,0,1007,600,0,0,0,0,126,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072419.csv,1428,7/24/2019 21:46,layer_1_concentration,YF,1007,real high values at night
0,7/26/2019 0:14,2019,M,7/26/2019,0:14:19,0,1079,600,0,0,0,0,14,5,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_072619.csv,1402,7/26/2019 0:14,layer_1_concentration,YF,1079,real high values at night
